altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P005,0,1.95122,0.691495,2104,32,asage,1698.728139
P005,0,0.124852,0.516144,1846,6,asage,3104.636263
P005,0,1.86029,1.5098,2331,22,asage,2165.923109
P005,0,1.71905,1.69496,2287,13,asage,3803.618193
P005,0,1.70319,1.711,1789,7,asage,4741.717844
P005,0,1.91492,0.59636,2263,13,asage,3173.824523
P005,0,1.0196,1.99981,1945,7,asage,1862.086574
P005,0,0.956139,1.99904,2350,9,asage,1561.408225
P005,0,0.0570096,1.33282,1888,27,asage,3684.618948
P005,0,1.86624,0.500371,1879,9,asage,4705.357416
P005,0,0.28883,1.70302,2266,19,asage,2021.441232
P005,0,1.5271,0.150194,1849,6,asage,363.1250776
P005,0,1.41323,1.91063,2253,16,asage,2926.820612
P005,0,0.142507,1.5145,2267,17,asage,1232.07188
P005,0,1.99635,0.914599,1873,21,asage,7070.10935
P005,0,1.57495,1.81819,2428,13,asage,2432.955961
P005,0,1.41992,1.90756,1877,7,asage,2356.639783
P005,0,0.923303,1.99705,1809,5,asage,4190.21776
P005,0,0.610523,1.92104,2037,9,asage,1563.747564
P005,0,0.112595,0.53901,2044,21,asage,223.3219407
P005,0,1.70711,0.292893,2307,15,asage,2732.165783
P005,0,0.331035,0.256706,1758,4,asage,1164.864414
P005,0,1.78549,1.61887,1813,5,asage,2317.683435
P005,0,0.405609,0.195824,2013,23,asage,2866.476321
P005,0,0.292893,1.70711,1774,6,asage,6277.623331
P005,0,0.789162,1.97752,1847,6,asage,3680.103617
P005,0,1.42874,0.0965742,2395,28,asage,1841.572252
P005,0,0.0283324,0.763648,2141,17,asage,3377.579007
P005,0,0.186266,0.418762,2059,16,asage,742.7121306
P005,0,1.49545,1.86864,2716,18,asage,1029.540755
P005,0,0.084685,1.40274,1859,22,asage,10211.52344
P005,0,1.8895,0.543065,2058,8,asage,2488.593086
P005,0,0.331035,1.74329,1768,5,asage,755.0298371
P005,0,0.194944,1.5932,2500,21,asage,5588.844929
P005,0,0.360882,0.230891,1814,7,asage,2898.800187
P005,0,1.14142,1.98995,1961,20,asage,5949.951829
P005,0,0.122104,1.47885,2038,31,asage,4753.234534
P005,0,0.611943,0.0783646,2205,35,asage,2120.694913
P006,0,0.4453,1.83205,2409,22,asage,963.9500335
P006,0,1.03789,1.99928,2399,8,asage,2727.520013
P006,0,1.07254,1.99737,1983,15,asage,2257.089062
P006,0,0.747131,0.0324996,1829,9,asage,2882.500984
P006,0,0.772062,1.97368,2272,7,asage,2897.814089
P006,0,1.39711,0.0822299,2460,20,asage,1065.167252
P006,0,0.208304,1.61092,1767,3,asage,2171.039048
P006,0,1.87913,1.47658,1899,20,asage,3857.757618
P006,0,0.945948,0.00146186,2256,11,asage,2104.024223
P006,0,0.117199,0.530253,2282,19,asage,3787.776793
P006,0,1.07387,1.99727,2553,22,asage,5886.233944
P006,0,1.95293,1.3032,1775,7,asage,490.9201573
P006,0,1.4741,0.119529,2223,8,asage,1350.209931
P006,0,1.76276,0.353315,2595,23,asage,6621.247374
P006,0,1.89666,0.557275,1756,3,asage,2064.928432
P006,0,1.64018,1.76822,1821,3,asage,2383.428942
P006,0,0.0224789,1.21084,2179,22,asage,348.7221078
P008,0,0.644005,1.93449,2046,20,asage,4434.87939
P008,0,1.56031,0.171717,2138,12,asage,344.4608256
P008,0,1.35812,1.93367,1805,17,asage,7868.921589
P008,0,0.72119,0.0396538,2170,14,asage,1272.933469
P008,0,0.566184,0.0989984,2150,18,asage,5051.894208
P008,0,1.73913,0.326438,2051,20,asage,5999.715801
P008,0,1.84482,0.464948,1777,4,asage,5105.756666
P008,0,0.0215209,0.793654,1760,3,asage,3617.07285
P008,0,0.355297,0.235567,1801,7,asage,2262.51129
P008,0,1.72885,0.315325,2520,21,asage,1659.779034
P008,0,1.69986,1.71428,2037,13,asage,4470.517064
P008,0,1.99985,1.01719,2031,24,asage,827.1814529
P008,0,0.430453,0.178041,2519,17,asage,1479.18721
P008,0,1.89588,1.4443,2355,18,asage,1899.031455
P008,0,1.89792,1.44016,2025,10,asage,5000.539196
P008,0,0.0110636,1.14834,2190,14,asage,1951.015719
P008,0,0.858579,0.0100505,1925,24,asage,1323.927742
P008,0,1.78311,1.62188,2132,12,asage,255.8827547
P008,0,0.239435,0.350738,1808,6,asage,2552.441653
P008,0,1.47344,0.119176,2620,26,asage,1889.874917
P008,0,1.93951,0.657471,2246,13,asage,2487.17183
P008,0,1.23129,1.97288,1814,15,asage,4205.222367
P008,0,1.21243,0.0228236,1763,6,asage,2251.487485
P008,0,0.36592,1.77327,2052,15,asage,2899.237075
P008,0,1.76822,1.64018,1838,5,asage,2475.162835
P008,0,0.0485555,0.69218,2099,13,asage,388.4141365
P008,0,0.425055,0.181808,2352,27,asage,1402.417748
P008,0,1.65275,1.75757,2167,11,asage,4003.338966
P008,0,1.96518,0.738409,1935,13,asage,3038.40475
P008,0,1,0,1743,2,asage,2280.724891
P008,0,1.50387,0.136221,2457,30,asage,1633.615918
P008,0,0.866491,0.00895238,2268,11,asage,2638.309418
P008,0,1.73696,1.67594,2098,12,asage,342.1617788
P008,0,1.3122,0.0499825,1722,3,asage,1847.46998
P008,0,1.55129,0.165687,2249,20,asage,2730.039966
P008,0,1.93991,1.34143,1893,17,asage,3928.250256
P008,0,1.95667,0.708838,2258,18,asage,3422.947823
P008,0,0.376552,0.218135,2284,14,asage,4494.960973
P008,0,0.0871817,0.591634,2444,36,asage,1637.461674
