altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P021,0,1.69466,1.71934,1938,1,asage,784.3581588
P039,0,0.298942,1.7131,1974,5,asage,697.8655666
P039,0,0.482581,1.85573,1765,13,asage,443.9585609
P039,0,0.0903708,0.584579,1856,5,asage,700.4120797
P039,0,1.90117,1.43347,1977,19,asage,576.7039918
P039,0,1.27664,1.96097,1961,6,asage,1564.766983
P039,0,0.0217659,0.792496,1926,9,asage,490.3519051
P039,0,0.00287175,1.07573,1983,5,asage,310.0353804
P039,0,1.69466,1.71934,1965,0,asage,1145.457552
P039,0,0.824967,0.0154375,1880,8,asage,256.3873037
P039,0,1.69466,1.71934,1913,0,asage,1129.093511
P039,0,0.317207,1.73061,1903,8,asage,633.4245705
P039,0,1.61257,1.79041,1986,3,asage,1250.543479
P039,0,1.47401,1.88052,1999,0,asage,1448.863363
P039,0,0.846484,1.98815,1976,2,asage,550.7146238
P039,0,0.312255,0.274047,1857,6,asage,1481.759675
P039,0,1.99691,1.07854,1935,14,asage,344.4523296
P039,0,0.757464,1.97014,1912,9,asage,923.1204168
P039,0,1.49551,0.131398,1836,9,asage,292.7655889
P039,0,0.499056,1.86548,1932,4,asage,263.8529889
P039,0,0.00459099,0.904288,1986,3,asage,669.9397593
P039,0,1.92555,1.37863,1990,11,asage,112.9784264
P039,0,1.21346,0.0230482,1999,5,asage,203.4045078
P039,0,1.69466,1.71934,1913,1,asage,176.8901927
P039,0,1.7885,1.61503,1938,6,asage,195.5144699
P039,0,1.28409,1.9588,1856,18,asage,470.0050946
P039,0,1.80544,0.407319,1922,4,asage,130.9346293
P039,0,1.5335,0.154202,2044,13,asage,352.274772
P039,0,1.99883,1.04833,2009,7,asage,601.2435251
P039,0,0.00204825,0.936029,1956,5,asage,796.7347459
P039,0,0.993789,1.93E-05,1946,2,asage,858.3809005
P039,0,1.69466,1.71934,1939,0,asage,861.2580017
P039,0,1.93598,1.35206,1881,8,asage,475.3658903
P039,0,1.3462,1.93816,1927,2,asage,862.3189376
P039,0,1.06652,0.00221485,2001,17,asage,522.8649166
P039,0,1.61507,0.211529,1915,6,asage,300.8523207
P039,0,1.44721,1.89443,1888,7,asage,910.1558314
P039,0,0.0284796,0.763044,1813,9,asage,194.6428148
P039,0,0.285166,0.300706,1836,14,asage,333.3632344
P039,0,0.46161,1.8427,1989,11,asage,2377.993993
P039,0,1.69466,1.71934,2020,0,asage,109.2219482
P039,0,1.34849,0.0626868,1919,9,asage,169.6370135
P039,0,1.69466,1.71934,1964,2,asage,1444.816496
P039,0,1.77307,1.63432,2036,15,asage,547.9782804
P039,0,0.192733,1.59019,2023,3,asage,471.9971378
P039,0,1.69466,1.71934,1893,0,asage,150.7021182
P039,0,0.201477,0.398036,2062,19,asage,2289.172441
P039,0,1.51228,0.141181,2011,5,asage,978.350712
P059,0,0.642353,0.0661433,2378,10,asage,599.870321
P059,0,0.100891,1.43772,2068,11,asage,612.1854095
P059,0,1.7179,1.69615,1976,5,asage,128.4519348
P059,0,1.78087,1.6247,1900,19,asage,767.2001619
P059,0,1.99509,1.09896,1983,3,asage,1450.635708
P059,0,0.292893,0.292893,2086,11,asage,777.82473
P059,0,1.19612,0.0194193,2020,9,asage,427.4268342
P059,0,1.69466,1.71934,2009,1,asage,113.416739
P059,0,1.90499,0.574576,1984,9,asage,803.6488539
P059,0,1.50669,0.137871,1899,7,asage,57.06262038
P059,0,1.43426,0.0992109,1871,5,asage,1673.836117
P059,0,0.332455,1.74457,1970,8,asage,525.6534967
P059,0,1.84227,1.53905,2201,20,asage,1600.460465
P059,0,0.2,0.4,1967,5,asage,569.0472736
P059,0,1.49026,0.128424,1946,11,asage,1253.270336
P059,0,1.48165,1.87636,1976,3,asage,687.0685875
P059,0,0.74501,1.96694,1870,3,asage,181.5107451
P059,0,1.93082,1.36548,1956,5,asage,415.6487962
P059,0,0.755823,1.96973,1950,6,asage,219.0491454
P059,0,0.126915,1.48757,1849,7,asage,297.3232958
P059,0,1.33607,0.0581643,2272,14,asage,690.2319533
P059,0,1.20761,0.0217875,2070,10,asage,716.7892855
P009,0,0.531911,0.116319,1919,3,asage,443.2047027
P009,0,0.0780732,0.612636,2021,17,asage,582.8274635
P009,0,1.46106,0.112631,1901,2,asage,295.1036096
P009,0,1.99752,1.07041,1972,6,asage,1301.0949
P009,0,1.46039,1.88772,1938,3,asage,565.8667002
P009,0,0.0558732,1.32958,2089,12,asage,1177.022538
P009,0,1.92848,1.37139,1877,9,asage,154.8571493
P009,0,0.170563,1.5586,1929,5,asage,9.170379061
P009,0,0.712652,1.95783,1958,14,asage,1033.475221
P009,0,1.68358,0.270123,2093,3,asage,1381.115335
P009,0,0.473646,0.149735,1988,16,asage,850.4646257
P009,0,1.69466,1.71934,1907,2,asage,1472.701852
P009,0,0.00112516,0.952576,1871,2,asage,589.5061852
P009,0,1.36509,1.93097,1903,7,asage,1557.695919
P009,0,1.12403,0.00772214,1945,7,asage,241.4490937
P009,0,0.920255,1.99682,1972,5,asage,1990.636635
P009,0,1.99388,1.11043,1951,5,asage,1031.011019
P009,0,1.38638,1.92234,1964,11,asage,629.3562153
P009,0,1.84039,1.54199,1960,3,asage,1212.647694
P009,0,1.69466,1.71934,2013,1,asage,279.8837091
P009,0,1.67127,0.258784,1884,4,asage,1322.282236
P009,0,0.191791,0.411104,1896,6,asage,228.2961731
P009,0,0.0745295,0.62118,1796,3,asage,168.2488602
P009,0,1.96894,0.752698,1965,10,asage,1119.132403
P009,0,0.805133,0.0191703,2009,8,asage,722.3881171
P009,0,1.69466,1.71934,1905,1,asage,811.485984
P009,0,1.98995,0.858579,1928,9,asage,557.5333848
P009,0,1.69466,1.71934,1855,1,asage,351.1939911
P009,0,1.12105,0.00735414,1975,13,asage,854.4374746
P009,0,0.709992,1.95702,1918,20,asage,411.6621297
P009,0,0.89817,1.9948,1998,12,asage,1198.099795
P009,0,1.77596,1.63078,2200,5,asage,1110.752551
P009,0,1.46838,0.116471,2197,18,asage,858.6119361
P009,0,1.0147,0.000108123,1970,6,asage,869.1642656
P009,0,0.146204,1.52061,1958,11,asage,727.0710413
P009,0,0.703601,0.0449358,1841,12,asage,421.4748817
P009,0,1.30601,0.0479714,1997,22,asage,134.0767188
P009,0,1.99234,0.876456,2128,17,asage,403.7077524
P009,0,0.370802,0.222755,1938,9,asage,1452.330556
P009,0,0.397167,0.202133,2012,17,asage,593.0777063
P009,0,1.92244,0.613862,1981,11,asage,485.6931547
P009,0,0.289865,1.70407,1860,2,asage,470.7577258
P009,0,1.04682,1.9989,1890,10,asage,654.4591742
P009,0,1.77193,1.63571,1945,4,asage,422.1875571
P009,0,1.37347,0.0723565,1962,11,asage,730.7806505
P009,0,1.93008,0.632655,1912,8,asage,96.36621844
P009,0,0.109315,0.545379,1921,9,asage,174.8448291
P009,0,0.0553691,1.32813,1886,9,asage,112.1024589
P009,0,1.86723,1.49791,1983,11,asage,578.8916099
P009,0,1.75967,0.349696,1943,2,asage,1039.491034
P009,0,0.371131,1.77751,1961,5,asage,827.3968247
P009,0,1.95133,1.30818,2025,5,asage,269.6893727
P009,0,1.65694,0.246059,1949,9,asage,1731.386455
P009,0,1.09417,1.99556,2011,7,asage,476.5457952
P009,0,1.72213,0.308241,1962,3,asage,1623.331192
P009,0,0,1,1907,13,asage,546.4516237
P009,0,1.89443,0.552786,1938,8,asage,363.5167361
P009,0,1.41665,1.90906,1961,20,asage,237.6979111
P009,0,0.0742946,0.621755,2121,3,asage,125.0344613
P065,0,0.774198,0.0258268,1897,9,asage,471.943219
P065,0,1.44721,0.105573,2081,16,asage,783.4061314
P065,0,1.7747,0.367675,2296,15,asage,795.0309891
P065,0,1.97401,1.22651,2048,11,asage,1077.61429
P065,0,1.49221,0.129522,1929,8,asage,729.491547
P065,0,0.0769836,1.38476,1841,2,asage,47.86435786
P065,0,1.35465,0.0650025,1951,8,asage,665.1758794
P065,0,1.02842,0.00040406,1992,4,asage,354.6478366
P065,0,2,1,1841,1,asage,558.5896718
P065,0,1.69466,1.71934,1908,1,asage,406.3729608
P065,0,0.0955684,1.42662,2056,7,asage,526.7358975
P065,0,0.839604,0.0129473,1935,7,asage,568.5016967
P065,0,1.1683,0.0142636,2055,22,asage,1835.745175
P065,0,1.77875,0.372671,2277,12,asage,306.3353971
P065,0,0.411306,0.191644,1847,2,asage,836.6687941
P065,0,1.35436,0.06489,1868,13,asage,1515.310901
P065,0,1.95523,1.29587,1986,14,asage,229.2346969
P065,0,1.69466,1.71934,1869,0,asage,692.1225887
P065,0,1.94386,1.33035,2054,8,asage,1895.503091
P065,0,0.2847,0.301182,2024,5,asage,599.5929896
P065,0,1.57403,0.181165,1864,7,asage,2270.348918
P065,0,1.69466,1.71934,1964,2,asage,586.9959738
P065,0,0,1,2051,21,asage,297.1139061
P065,0,1.31623,0.0513167,1975,11,asage,311.0759787
P065,0,1.69466,1.71934,1940,1,asage,437.8551185
P065,0,1.0936,0.00439054,1880,3,asage,2636.937529
P065,0,0.0935922,1.4224,1990,6,asage,690.4826327
P065,0,0.645773,0.0648406,1975,4,asage,204.2766096
P065,0,1.74239,1.66996,1965,21,asage,1108.624093
P056,0,0.16795,1.5547,1941,6,asage,1678.545008
P056,0,1.69466,1.71934,1929,1,asage,887.8702721
P056,0,0.546124,0.108935,2035,3,asage,630.8023495
P056,0,1,0,1838,5,asage,420.3110276
P056,0,0.510177,1.87182,1900,22,asage,288.9553413
P056,0,1.5586,0.170563,1868,5,asage,53.97847949
P056,0,1.61782,0.213682,2046,5,asage,1234.946726
P056,0,0.335173,0.253003,2220,24,asage,876.7699927
P056,0,1.92164,0.611943,1998,6,asage,184.1562814
P056,0,0.60252,0.0823891,1903,12,asage,2005.522591
P056,0,0.247423,0.341495,1975,18,asage,1390.538409
P056,0,1.99925,1.03865,1976,11,asage,69.6889209
P056,0,1.07041,1.99752,1889,10,asage,825.8280542
P056,0,1.32968,0.0559083,1910,8,asage,1282.800102
P056,0,1.96849,0.750959,1915,3,asage,184.5858216
P056,0,1.47515,1.87991,1977,4,asage,464.8424986
P056,0,1.9369,1.34959,2017,14,asage,1123.567007
P056,0,1.69466,1.71934,1934,0,asage,184.8889076
P056,0,0.809566,0.0182999,1927,3,asage,437.7655826
P056,0,0.448133,1.83393,2073,15,asage,876.396434
P056,0,0.855271,0.0105286,1961,8,asage,547.9870107
